单词                  |音标                  |词性&词义               
boast                 |/boʊst/               |< n. > - 自夸；引以为荣的事物 ;< v. > - 自夸；吹牛；以 ;
boat                  |/boʊt/                |< v. > - 划船；放于船上；乘船 ;< n. > - 船；船型物 ;
boathook              |/ˈboʊthʊk/            |< n. > - 钩竿 ;
boathouse             |/ˈboʊthaʊs/           |< n. > - 船库；艇库 ;
boatman               |/ˈboʊtmən/            |< n. > - 出租游艇者；船夫 ;
body                  |/ˈbɑːdi/              |< v. > - 赋…以形体 ;< n. > - 身体；主体；正文；主要部分；尸体；躯体；团体 ;
boil                  |/bɔɪl/                |< n. > - 煮沸；翻滚；疖 ;< v. > - 沸腾；煮沸；激动 ;
bold                  |/boʊld/               |< adj. > - 大胆的；陡峭的；醒目的；粗体的；无礼的 ;
boldly                |/ˈbəʊldli/            |< adv. > - 大胆地；显眼地 ;
bolt                  |/boʊlt/               |< adv. > - 挺直地 ;< v. > - （突然）逃离；闩住；狼吞虎咽；用螺栓固定 ;< n. > - 门闩；螺栓；一卷布；弩箭 ;
bomb                  |/bɑːm/                |< vt. > - 轰炸；投弹于 ;< vi. > - 投弹；失败 ;< n. > - 炸弹 ;
bomber                |/ˈbɑːmər/             |< n. > - 轰炸机；投弹手 ;
bond                  |/bɑːnd/               |< vt. > - 使结合；为  ;< vi. > - 连结；粘合 ;< n. > - 债券；结合；协定；联系；情谊；黏合剂 ;
bone                  |/boʊn/                |< adv. > - 非常地；极其地 ;< vt. > - 除去骨头；往衣服里加撑条；磨光表面 ;< vi. > - 努力学习 ;< n. > - 骨骼；骨；核心 ;
book                  |/bʊk/                 |< v. > - 预订；记录在案 ;< n. > - 书；本子 ;
booming               |/'buːmɪŋ/             |< adj. > - 兴旺的；繁荣的；轰隆作响的 ;
boot                  |/buːt/                |< vt. > - 踢；穿靴子；逐出；启动(计算机) ;< n. > - 靴子；猛踢；解雇；[英]汽车行李箱 ;
booth                 |/buːθ/                |< n. > - 货摊；电话亭；小间 ;
border                |/ˈbɔːrdər/            |< vt. > - 与  ;< vi. > - 近似；毗邻 ;< n. > - 边界；边境；边缘 ;
bore                  |/bɔːr/                |< other nominal > - 动词bear的过去式 ;< n. > - 讨厌的人；麻烦事；(管道、枪炮等的)孔；涌潮；(找水或石油的)钻孔 ;< v. > - 使厌烦；开凿；钻孔；挖掘；盯着看 ;
boredom               |/ˈbɔːrdəm/            |< n. > - 无聊；厌烦；厌倦；令人厌烦的事物 ;
born                  |/bɔːrn/               |< other nominal > - 动词bear的过去分词 ;< adj. > - 出生的；与生俱来的 ;
borrow                |/ˈbɑːroʊ/             |< v. > - 借；借鉴；抄袭 ;
bosom                 |/ˈbʊzəm/              |< adj. > - 亲密的；知心的 ;< vt. > - 拥抱；把 ;< n. > - 胸部；胸怀；内部；内心 ;
boss                  |/bɔːs/                |< v. > - 管理；指挥 ;< n. > - 老板；上司；首脑 ;
both                  |/boʊθ/                |< conj. > - 不但  ;< pron. > - 两者 ;< adj. > - 两者的 ;
bother                |/ˈbɑːðər/             |< n. > - 麻烦；烦扰；焦急 ;< v. > - 烦扰；使恼怒；使不安；费心 ;
bottle                |/ˈbɑːtl/              |< vt. > - 抑制；把  ;< n. > - 瓶子 ;
bottom                |/ˈbɑːtəm/             |< v. > - 触底；打(基础) ;< adj. > - 底部的 ;< n. > - 底部；底端 ;
bough                 |/baʊ/                 |< n. > - 大树枝 ;
boulder               |/ˈboʊldər/            |< n. > - 大圆石；巨砾 ;
bounce                |/baʊns/               |< vt. > - 使弹起；解雇；驱逐 ;< vi. > - 弹起；重新恢复；退票 ;< n. > - 弹跳；弹力；活力 ;
bound                 |/baʊnd/               |< other nominal > - 动词bind的过去式和过去分词形式 ;< adj. > - 必定的；有义务的；受约束的；装订的 ;< vi. > - 跳；跳跃前进；猛涨 ;< n. > - 跳跃；范围；界限 ;
boundary              |/ˈbaʊndri/            |< n. > - 边界；分界线 ;
bow                   |/baʊ/                 |< v. > - 鞠躬；致敬；压弯 ;< n. > - 弓；鞠躬礼；蝴蝶结；船头 ;
bowl                  |/boʊl/                |< v. > - 投球；打保龄球 ;< n. > - 木球；保龄球 ;
box                   |/bɑːks/               |< v. > - 拳击；打耳光 ;< vt. > - 把…装箱；使局限于狭小空间；挡住 ;< n. > - 黄杨；黄杨木 ;
boxer                 |/ˈbɑːksər/            |< other nominal > - (复数）boxers: 拳击短裤 ;< n. > - 拳击手；拳师狗 ;
boxing                |/ˈbɑːksɪŋ/            |< n. > - 拳击；盒式包装；制箱材料 ;
boy                   |/bɔɪ/                 |< n. > - 男孩；儿子；男服务员 ;
brain                 |/breɪn/               |< vt. > - 打  ;< n. > - 脑；智力；智者；控制中心 ;
brake                 |/breɪk/               |< v. > - 刹车 ;< n. > - 制动器；闸；刹车 ;
branch                |/bræntʃ/              |< v. > - 分岔；分支 ;< n. > - 分部；部门；分店；分支；树枝 ;
brand                 |/brænd/               |< vt. > - 加污名于；铭记；打烙印 ;< n. > - 烙印；商标；牌子；标记 ;
brandy                |/ˈbrændi/             |< v. > - 以白兰地酒调制 ;< n. > - 白兰地酒 ;
brass                 |/bræs/                |< adj. > - 黄铜的 ;< n. > - 黄铜(制品)；铜管（乐器）；厚脸皮 ;
brave                 |/breɪv/               |< adj. > - 勇敢的；英勇的 ;< v. > - 勇敢地面对 ;
bread                 |/bred/                |< vt. > - 在  ;< n. > - 面包 ;
breadth               |/bredθ/               |< n. > - 宽度 ;
break                 |/breɪk/               |< n. > - 破裂；休息；中断；急冲；好运 ;< v. > - 打碎；折断；违背；解决；中断；透露；变弱；锐减；结束 ;
breakfast             |/ˈbrekfəst/           |< v. > - 吃早餐；用早餐 ;< n. > - 早餐 ;
breast                |/brest/               |< vt. > - (以胸)对着 ;< n. > - 乳房；胸脯 ;
breath                |/breθ/                |< n. > - 呼吸；气息 ;
breathe               |/briːð/               |< vt. > - 轻声说；流露（自信等感情）；注入 ;< vi. > - 呼吸 ;
breath-taking         |/'breθ 'teɪkɪŋ/       |< adj. > - 惊人的 ;
breed                 |/briːd/               |< n. > - 品种；血统 ;< v. > - 繁殖；养育；引起，产生；教养 ;
breeze                |/briːz/               |< v. > - 飘然而行；轻松通过 ;< n. > - 微风；<口>轻而易举的事；焦炭渣 ;
brick                 |/brɪk/                |< vt. > - 用砖围砌（或堵） ;< n. > - 砖；砖块；砖状物 ;
bridge                |/brɪdʒ/               |< vt. > - 架桥；渡过；缩短 ;< n. > - 桥梁；纽带；桥牌；鼻梁；（音乐）琴马；齿桥 ;
brief                 |/briːf/               |< adj. > - 短暂的；短期的；简短的；扼要的 ;< vt. > - 作…的概述；（向…）简单介绍 ;< n. > - 摘要；案件陈述 ;
briefly               |/ˈbriːfli/            |< adv. > - 简短地；简单的 ;
bright                |/braɪt/               |< adv. > - 一早 ;< adj. > - 明亮的；聪明的；阳光的；生动的；有前途的 ;< n. > - 亮色 ;
brighten              |/ˈbraɪtn/             |< v. > - 使变亮；使生辉；发亮；开颜 ;
brilliant             |/ˈbrɪljənt/           |< adj. > - 卓越的；灿烂的；美妙的；杰出的；才华横溢的 ;< n. > - 宝石 ;
brilliantly           |/ˈbrɪliəntli/         |< adv. > - 辉煌地；光亮地；灿烂地 ;
brim                  |/brɪm/                |< v. > - （装）满；（使）溢出 ;< n. > - 边；边缘 ;
bring                 |/brɪŋ/                |< vt. > - 带来；促使；引起；劝诱 ;< vi. > - 产生 ;
brisk                 |/brɪsk/               |< adj. > - 敏锐的；活泼的；活跃的；轻快的；凛冽的 ;< v. > - （使）轻快 ;
bristle               |/ˈbrɪsl/              |< v. > - 生气；直立 ;< n. > - 刚毛；猪鬃 ;
Britain               |/ˈbrɪtn/              |< n. > - 英国；不列颠 ;
British               |/ˈbrɪtɪʃ/             |< adj. > - 英国的；不列颠的；英国人的 ;< n. > - 英国人；英式英语 ;
brittle               |/ˈbrɪtl/              |< adj. > - 易碎的；尖利的；脆弱的 ;< n. > - 果仁薄脆糖 ;
broad                 |/brɔːd/               |< adj. > - 宽广的；清楚无误的；明显的；胸怀开阔的；粗俗的 ;< n. > - <俚>女子 ;
broadcast             |/ˈbrɔːdkæst/          |< n. > - 广播；广播节目 ;< v. > - 广播；散布；撒播 ;
broken                |/ˈbroʊkən/            |< other nominal > - 动词break的过去分词 ;< adj. > - 弄坏的；破碎的 ;
bronze                |/brɑːnz/              |< adj. > - 青铜制的；青铜色的 ;< vt. > - 使成青铜色 ;< n. > - 青铜；青铜色；青铜制品；铜牌 ;
brood                 |/bruːd/               |< v. > - 孵；沉思；笼罩 ;< n. > - 一窝；一伙；一家孩子；一组事物 ;
brook                 |/brʊk/                |< vt. > - (常用于否定句或疑问句)容忍；忍受 ;< n. > - 小河；溪 ;
broom                 |/bruːm/               |< vt. > - 清扫 ;< n. > - 扫帚；金雀花 ;
brother               |/ˈbrʌðər/             |< n. > - 兄弟；教友；同胞；<俚>老兄 ;
brow                  |/braʊ/                |< n. > - 前额；眉毛；山脊；表情 ;
brown                 |/braʊn/               |< other nominal > - Brown ;< v. > - （使）变褐色 ;< adj. > - 棕色的；褐色的 ;< n. > - 布朗(姓氏) ;
bruise                |/bruːz/               |< vt. > - 使挫伤 ;< vi. > - 碰伤；擦伤 ;< n. > - 瘀青；擦伤；挫伤 ;
brush                 |/brʌʃ/                |< vt. > - 刷；掠过；轻触；擦；掸 ;< vi. > - 轻擦；拂拭 ;< n. > - 小冲突；争吵 ;
brute                 |/bruːt/               |< adj. > - 残忍的；无理性的；粗暴的 ;< n. > - 畜生；残忍的人 ;
bubble                |/ˈbʌbl/               |< v. > - 起泡；冒泡；充满 ;< n. > - 气泡；泡影 ;
bucket                |/ˈbʌkɪt/              |< vt. > - 装在桶里 ;< vi. > - 颠簸行进；下倾盆大雨 ;< n. > - 【C】水桶；（机器上的）桶装物；大量 ;
bud                   |/bʌd/                 |< vt. > - 使发芽 ;< vi. > - 发芽；萌芽 ;< n. > - 芽；花蕾 ;
buffer                |/ˈbʌfər/              |< v. > - 缓冲；减轻；[计]缓存 ;< n. > - 缓冲；(火车头尾或轨道末端的)缓冲器；[计算机]缓存区；老朽 ;
build                 |/bɪld/                |< n. > - 体格；身材 ;< v. > - 建造；开发；创建；逐渐增强 ;
building              |/ˈbɪldɪŋ/             |< n. > - 建筑物 ;
bulb                  |/bʌlb/                |< n. > - 球茎；电灯泡；球状物 ;
bulk                  |/bʌlk/                |< adj. > - 散装的；大量的 ;< vt. > - 使膨胀；使成堆 ;< vi. > - 膨胀；显得重要 ;< n. > - 体积；容积；大块；大部分；大批 ;
bull                  |/bʊl/                 |< adj. > - 公牛的；鲁莽的 ;< n. > - 教皇诏书 ;
bullet                |/ˈbʊlɪt/              |< n. > - 子弹；弹丸 ;
bulletin              |/ˈbʊlətɪn/            |< vt. > - 发表；用公告通知 ;< n. > - 公报；期刊；新闻快报；公示 ;
bullfight             |/ˈbʊlfaɪt/            |< n. > - 斗牛 ;
bullion               |/ˈbʊliən/             |< n. > - 金银；金银锭；金银丝花边 ;
bump                  |/bʌmp/                |< adv. > - 突然的；猛烈的 ;< n. > - 肿块；撞击；表面隆起 ;< v. > - 碰撞；颠簸而行；提高 ;
bumpy                 |/ˈbʌmpi/              |< adj. > - 颠簸的；崎岖不平的 ;
bunch                 |/bʌntʃ/               |< vt. > - 使成一束(或一群等) ;< vi. > - 隆起；成束成群 ;< n. > - 突出物；凸起 ;
bundle                |/ˈbʌndl/              |< v. > - 捆；把  ;< n. > - 捆；束；包；大笔钱 ;
buoy                  |/bɔɪ/                 |< v. > - 使浮起；支持；鼓励；用浮标指示 ;< n. > - 浮标；浮筒；救生圈；救生衣 ;
burden                |/ˈbɜːrdn/             |< v. > - 使负重；装载；烦扰 ;< n. > - 负担；责任；装载量；主题；[音乐]副歌 ;
bureau                |/ˈbjʊroʊ/             |< n. > - 局；办事处；(带抽屉的）写字台 ;
burglar               |/ˈbɜːrɡlər/           |< n. > - 窃贼 ;
burn                  |/bɜːrn/               |< n. > - 烧伤；燃烧 ;< v. > - 燃烧；烧着；烧毁；灼伤；急于 ;
burnt                 |/bɜːrnt/              |< other nominal > - 动词burn的过去式和过去分词 ;< adj. > - 烧伤的；烧焦的；烧坏的 ;
burst                 |/bɜːrst/              |< v. > - 爆裂；迸发；冲；闯 ;< n. > - 爆发；破裂；阵 ;
bury                  |/ˈberi/               |< vt. > - 埋葬；隐匿；专心致志；抛弃 ;
bus                   |/bʌs/                 |< vt. > - 用公共汽车运输 ;< vi. > - 乘公共汽车 ;< n. > - 总线；信息通路 ;
bush                  |/bʊʃ/                 |< other nominal > - Bush ;< v. > - 丛生；(以灌木)标记、保护、支撑 ;< n. > - 布什(姓氏) ;
business              |/ˈbɪznəs/             |< n. > - 商业；事务；生意 ;
busman                |/'bʌsmən/             |< n. > - 公共汽车司机 ;
busy                  |/ˈbɪzi/               |< adj. > - 忙的；繁忙的；热闹的；(电话)占线的 ;< vt. > - 使忙于 ;
but                   |/bət/                 |< conj. > - 但是 ;< pron. > - 无不 ;< prep. > - 除  ;< adv. > - 仅仅；只 ;
butcher               |/ˈbʊtʃər/             |< vt. > - 屠宰；滥杀；将某事弄得一团糟 ;< n. > - 屠夫；刽子手；肉商；小贩 ;
butter                |/ˈbʌtər/              |< vt. > - 涂黄油；奉承 ;< n. > - 黄油；奶油 ;
butterfly             |/ˈbʌtərflaɪ/          |< vt. > - (烹饪时把鱼肉等）切开摊平 ;< n. > - 蝴蝶；蝶状物；蝶泳 ;
button                |/ˈbʌtn/               |< v. > - 扣上纽扣；用纽扣装饰 ;< n. > - 纽扣；按钮 ;
buy                   |/baɪ/                 |< vt. > - 购买；买；获得；收买；<俚>相信 ;< vi. > - 买 ;< n. > - 购买；便宜货 ;
by                    |/baɪ/                 |< prep. > - 靠近；通过；被；经由；不迟于 ;< adv. > - 经过；在旁边；靠近 ;
Byron                 |/'baɪrən/             |< n. > - 拜伦（英国诗人；1788-1824） ;
cabbage               |/ˈkæbɪdʒ/             |< n. > - 卷心菜；洋白菜 ;
cabin                 |/ˈkæbɪn/              |< vt. > - 抑制 ;< vi. > - 住在小屋 ;< n. > - 船舱；机舱；小木屋 ;
cabinet               |/ˈkæbɪnət/            |< adj. > - 内阁的；秘密的 ;< n. > - 橱柜；内阁 ;
cable                 |/ˈkeɪbl/              |< v. > - 发电报；(通过电缆)交流；(用缆绳)固定 ;< n. > - 电缆；缆；索；电报 ;
cafe                  |/kæˈfeɪ/              |< n. > - 咖啡馆；小餐馆 ;
cafeteria             |/ˌkæfəˈtɪriə/         |< n. > - 自助餐厅 ;
cage                  |/keɪdʒ/               |< vt. > - 关入笼中 ;< n. > - 笼子；监狱；笼状结构 ;
cake                  |/keɪk/                |< n. > - 蛋糕；块状物 ;
calculate             |/ˈkælkjuleɪt/         |< v. > - 计算；估计；考虑；推测；计划；指望 ;
calculation           |/ˌkælkjuˈleɪʃn/       |< n. > - 计算；估计；深思熟虑 ;
calculator            |/ˈkælkjuleɪtər/       |< n. > - 计算器 ;
calendar              |/ˈkælɪndər/           |< vt. > - 把  ;< n. > - 日历；历法；日程表；一览表 ;
call                  |/kɔːl/                |< vt. > - 呼叫；打电话；把  ;< vi. > - 呼叫；(短暂的)拜访 ;< n. > - 打电话；访问；召唤；呼叫；把  ;
call-box              |/'kɔːlb'ɒks/          |< n. > - 公共电话亭；紧急用电话亭 ;
caller                |/ˈkɔːlər/             |< n. > - 打电话的人；来访者；呼叫者 ;
calm                  |/kɑːm/                |< n. > - 镇定；平静；平稳 ;< adj. > - 平静的；冷静的 ;< v. > - (使)平静；(使)镇静 ;
camel                 |/ˈkæml/               |< n. > - 骆驼；浮船箱；驼色 ;
camera                |/ˈkæmərə/             |< n. > - 照相机；摄像机 ;
camp                  |/kæmp/                |< v. > - 宿营；露营；扎营 ;< n. > - 野营；帐篷；营地 ;
campaign              |/kæmˈpeɪn/            |< v. > - 参加竞选；从事运动 ;< n. > - 运动；战役；活动；竞选运动 ;
campfire              |/ˈkæmpfaɪər/          |< n. > - 营火；篝火；篝火晚会 ;
campus                |/ˈkæmpəs/             |< adj. > - 校园的 ;< n. > - 校园；场地 ;
can                   |/kæn/                 |< aux. > - 可以；能 ;< v. > - 罐装；<口>解雇 ;< n. > - 罐头 ;
Canada                |/'kænədə/             |< n. > - 加拿大（位于北美洲北部） ;
Canadian              |/kəˈneɪdiən/          |< adj. > - 加拿大的；加拿大人的 ;< n. > - 加拿大人 ;
canal                 |/kəˈnæl/              |< vt. > - 建运河；疏导 ;< n. > - 运河；沟渠；气管；食管 ;
cancel                |/ˈkænsl/              |< n. > - 取消；删除 ;< v. > - 取消；作废；注销；抵消；删除 ;
cancer                |/ˈkænsər/             |< other nominal > - Cancer ;< n. > - 巨蟹座 ;
candidate             |/ˈkændɪdət/           |< n. > - 候选人；应试者 ;
candle                |/ˈkændl/              |< vt. > - 对光检查 ;< n. > - 蜡烛；烛形物 ;
candy                 |/ˈkændi/              |< v. > - 用糖煮；使结晶为砂糖 ;< n. > - 糖果 ;
cannon                |/ˈkænən/              |< v. > - 开炮；相撞 ;< n. > - 大炮；机关炮 ;
canoe                 |/kəˈnuː/              |< v. > - 乘独木舟；用独木舟运 ;< n. > - 独木舟 ;
canteen               |/kænˈtiːn/            |< n. > - 食堂；水壶 ;
canvas                |/ˈkænvəs/             |< n. > - 油画；帆布；（帆布）画布 ;
cap                   |/kæp/                 |< vt. > - 超过；加盖于；戴帽；覆盖；完成；设限 ;< vi. > - 脱帽致意 ;< n. > - 帽子；盖子；顶；上限 ;
capable               |/ˈkeɪpəbl/            |< adj. > - 有能力的；能干的；有 ;
capacity              |/kəˈpæsəti/           |< n. > - 容量；容积；能力；职位；资格 ;
capital               |/ˈkæpɪtl/             |< adj. > - 资本的；大写的；一流的；首要的；极其严重的；涉及死亡的 ;< n. > - 首都；资本；大写字母；[建筑]柱顶 ;
capsize               |/ˈkæpsaɪz/            |< v. > - 倾覆；翻转 ;
capsule               |/ˈkæpsjuːl/           |< v. > - 概括；装入胶囊 ;< adj. > - 精简的；微型的 ;< n. > - 胶囊；太空舱；荚膜；概要 ;
captain               |/ˈkæptɪn/             |< vt. > - 指挥；率领 ;< n. > - 首领；队长；船长 ;
captive               |/ˈkæptɪv/             |< adj. > - 被俘的；被迷住的 ;< n. > - 俘虏；迷恋者 ;
capture               |/ˈkæptʃər/            |< vt. > - 捕获；占领；夺取；吸引；(用照片等)留存 ;< n. > - 捕获；战利品 ;
car                   |/kɑːr/                |< n. > - 汽车；车厢；吊舱 ;
carbon                |/ˈkɑːrbən/            |< n. > - 碳；复写纸；复本；碳精棒 ;
card                  |/kɑːrd/               |< v. > - 把  ;< n. > - 纸牌；卡片；名片；<口>怪人；梳理机 ;
cardboard             |/ˈkɑːrdbɔːrd/         |< adj. > - 厚纸板的；不真实的；无实质的 ;< n. > - 厚纸板 ;
care                  |/ker/                 |< n. > - 小心；照料；忧虑；注意；护理 ;< v. > - 关心；担忧；照顾；喜爱；介意；倾向于；愿望；在乎 ;
career                |/kəˈrɪr/              |< vi. > - 猛冲；飞跑 ;< n. > - 生涯；职业；事业 ;
careful               |/ˈkerfl/              |< adj. > - 小心谨慎的；慎重的；精心的 ;
careless              |/ˈkerləs/             |< adj. > - 粗心的；疏忽的；草率的；无忧无虑的；漫不经心的 ;
cargo                 |/ˈkɑːrɡoʊ/            |< n. > - 货物；船货 ;
Caribbean             |/ˌkærɪˈbiːən/         |< adj. > - 加勒比海的；加勒比族的 ;< n. > - 加勒比海 ;
carious               |/ˈkeriəs/             |< adj. > - 龋的；骨疡的；腐烂的 ;
carpenter             |/ˈkɑːrpəntər/         |< v. > - 做木工活 ;< n. > - 木匠 ;
carpet                |/ˈkɑːrpɪt/            |< vt. > - 铺盖；铺以地毯 ;< n. > - 地毯；地毯状物 ;
carriage              |/ˈkærɪdʒ/             |< n. > - 四轮马车；客车车厢；运输；运费；举止；托架 ;
carrier               |/ˈkæriər/             |< n. > - 航空母舰；运输工具；行李架；带菌者；运送者；客运公司；电信公司 ;
carrot                |/ˈkærət/              |< n. > - 胡萝卜；<非>好处；报酬 ;
carry                 |/ˈkæri/               |< n. > - 【计】进位；运载 ;< v. > - 携带；运送；搬运；带有；传播；承载 ;
cart                  |/kɑːrt/               |< vt. > - <非正式>(用手推车)运送；(用力；粗鲁地)拖 ;< n. > - 【C】(二轮或四轮)运货马车；手推车 ;
carve                 |/kɑːrv/               |< v. > - 雕刻；切割 ;
case                  |/keɪs/                |< v. > - 装箱；踩点；仔细检查 ;< n. > - 例子；情况；案例；（辩论或诉讼）论据；箱 ;
cash                  |/kæʃ/                 |< adj. > - 现金的 ;< vt. > - 付现款；兑现 ;< n. > - 现金 ;
cassette              |/kəˈset/              |< n. > - 盒式磁带；暗盒 ;
cast                  |/kæst/                |< n. > - 演员阵容；投掷；[医]固定用敷料 ;< v. > - 掷；抛；投；铸造；指定演员；加起来；投射(目光)；投(票)；预测 ;
castle                |/ˈkæsl/               |< v. > - 置于城堡中；(棋)移动王车易位 ;< n. > - 城堡 ;
casual                |/ˈkæʒuəl/             |< adj. > - 非正式的；漫不经心的；偶然的；临时的；休闲的 ;< n. > - 便装；临时工 ;
casualty              |/ˈkæʒuəlti/           |< n. > - 事故；伤亡者；伤亡人数；<英>急诊室 ;
cat                   |/kæt/                 |< v. > - 起锚；寻找性伴侣 ;< abbr. > - 目录（=catalog） ;< n. > - 猫；猫科动物；狠毒的女人；吊锚机；独桅船；九尾鞭 ;
catalog               |/'kætəlɔːg/           |< vt. > - 做目录；分类说明；名入列表 ;< vi. > - (商品)在型录中明码标价 ;< n. > - 目录；大学概况手册；商品型录 ;
catastrophe           |/kəˈtæstrəfi/         |< n. > - 大灾难；大祸；彻底失败 ;
catch                 |/kætʃ/                |< n. > - 捕捉；捕获物；陷阱 ;< v. > - 赶上；抓住；捕捉；领会 ;
cater                 |/ˈkeɪtər/             |< v. > - 提供饮食及服务；迎合；满足 ;
cathedral             |/kəˈθiːdrəl/          |< n. > - 大教堂 ;
cattle                |/ˈkætl/               |< n. > - 牛；家畜；畜牲 ;
cause                 |/kɔːz/                |< vt. > - 引起；使发生 ;< n. > - 原因；理由；事业 ;
cautious              |/ˈkɔːʃəs/             |< adj. > - 谨慎的；十分小心的 ;
cave                  |/keɪv/                |< v. > - 挖空；塌落；屈服 ;< n. > - 洞穴；山洞 ;
caveman               |/ˈkeɪvmæn/            |< n. > - (远古)洞穴人；（非正式）粗暴的男人 ;
cavern                |/ˈkævərn/             |< v. > - 置于洞穴中；挖空 ;< n. > - 大洞穴 ;
cease                 |/siːs/                |< n. > - 停止 ;< v. > - 终止；停止 ;
ceiling               |/ˈsiːlɪŋ/             |< n. > - 天花板；上限 ;
celebrate             |/ˈselɪbreɪt/          |< v. > - 庆祝；庆贺；颂扬 ;
celebration           |/ˌselɪˈbreɪʃn/        |< n. > - 典礼；宗教仪式；庆祝，祝贺 ;
cell                  |/sel/                 |< n. > - 单人牢房；小房间；细胞；蜂房的巢室；电池；政治小组；(计算机电子表格的)单元格；<美口>手机 ;
cellar                |/ˈselər/              |< vt. > - 把  ;< n. > - 地窖；地下室 ;
cement                |/sɪˈment/             |< vt. > - 用水泥涂；巩固 ;< vi. > - 接合起来 ;< n. > - 水泥；纽带；接合剂；牙骨质；补牙物；基石 ;
cent                  |/sent/                |< n. > - 分 ;
center                |/ˈsentər/             |< other nominal > - =centre<英> ;< v. > - 居中；使集中 ;< n. > - 中心；集中点 ;
centigrade            |/ˈsentɪɡreɪd/         |< adj. > - 摄氏的；百分度的 ;
centimeter            |/'sentəˌmiːtə/        |< n. > - 厘米（＝1／100米）；公分 ;
central               |/ˈsentrəl/            |< adj. > - 中心的；中央的；主要的；起支配作用的；有控制力的；[语]中央元音的 ;< n. > - 中心枢纽；中央办公室；电话交换机 ;
centre                |/ˈsentər/             |< other nominal > - =center<美> ;< v. > - 居中；使集中 ;< adj. > - 中心的；中央的 ;< n. > - 中心；集中点 ;
century               |/ˈsentʃəri/           |< adj. > - 百年的 ;< n. > - 百年；世纪 ;
ceremony              |/ˈserəmoʊni/          |< n. > - 仪式；礼节；典礼 ;
certain               |/ˈsɜːrtn/             |< pron. > - 某些；某几个 ;< adj. > - 确定的；肯定的；某事；某人；某种；（与人名连用；表示不认识此人）一位叫 ;
certainly             |/ˈsɜːrtnli/           |< adv. > - 当然；一定 ;
certainty             |/ˈsɜːrtnti/           |< n. > - 确定；确实的事情 ;
certificate           |/sərˈtɪfɪkət/         |< vt. > - 认可；批准；发证书给  ;< n. > - 执照；证(明)书 ;
chain                 |/tʃeɪn/               |< vt. > - 束缚；用铁链锁住 ;< n. > - 束缚；链条；链；(一)连串；连锁店（常用复数） ;
chair                 |/tʃer/                |< vt. > - 主持；当  ;< n. > - 椅子；(会议的)主席 ;
chairman              |/ˈtʃermən/            |< v. > - 担任  ;< n. > - 主席；会长；董事长 ;
chalk                 |/tʃɔːk/               |< v. > - 用粉笔写；记录；使变白；归咎 ;< n. > - 粉笔；白垩 ;
challenge             |/ˈtʃælɪndʒ/           |< v. > - 向  ;< n. > - 挑战；邀请比赛；盘问；质疑 ;
chamber               |/ˈtʃeɪmbər/           |< adj. > - 【音】室内的，小型的；私人的，秘密的 ;< n. > - 室；会议厅；房间 ;
champagne             |/ʃæmˈpeɪn/            |< n. > - 香槟酒；香槟色 ;
champion              |/ˈtʃæmpiən/           |< vt. > - 拥护；保卫；为  ;< n. > - 拥护者；冠军；优胜者；勇士 ;
chance                |/tʃæns/               |< v. > - 偶然发生；碰巧；冒  ;< n. > - 可能性；机会；偶然性 ;
change                |/tʃeɪndʒ/             |< v. > - 改变 ;< n. > - 变化；零钱 ;
channel               |/ˈtʃænl/              |< vt. > - 引导；形成河道；集中（精力） ;< n. > - 频道；海峡；方法；通道；（消息）渠道 ;
chaos                 |/ˈkeɪɑːs/             |< n. > - 混乱；无秩序；混沌 ;
chapter               |/ˈtʃæptər/            |< n. > - 章；回；篇 ;
character             |/ˈkærəktər/           |< adj. > - [剧](角色)代表某一特性的 ;< n. > - 个性；品质；字符；人物；名誉；地位 ;
characteristic        |/ˌkærəktəˈrɪstɪk/     |< adj. > - 典型的；特有的 ;< n. > - 特点；特性；特色 ;
charge                |/tʃɑːrdʒ/             |< vt. > - 控诉；赊帐；给…充电；委以重任；归罪于；装填（炸药等） ;< vi. > - 要价；充电；向前冲，冲锋；记在账上 ;< n. > - 责任；电荷；指控；费用；照顾 ;
charity               |/ˈtʃærəti/            |< n. > - 慈善；宽厚；慈善机关(团体)；仁慈 ;
charming              |/ˈtʃɑːrmɪŋ/           |< adj. > - 迷人的 ;
chart                 |/tʃɑːrt/              |< v. > - 制成图表；绘制地图；规划 ;< n. > - 图表；规划图；排行榜 ;
chase                 |/tʃeɪs/               |< vt. > - 追捕；追求；镂刻，雕刻；试图赢得 ;< vi. > - 奔跑；追赶 ;< n. > - 追捕；争取；狩猎 ;
chasm                 |/ˈkæzəm/              |< n. > - 分歧；深坑；裂口 ;
chat                  |/tʃæt/                |< vi. > - 闲谈；谈天 ;< n. > - 闲谈；聊天 ;
cheap                 |/tʃiːp/               |< adj. > - 便宜的；廉价的 ;
cheat                 |/tʃiːt/               |< vt. > - 欺骗；骗取 ;< vi. > - 作弊；行骗 ;< n. > - 骗子；欺骗 ;
check                 |/tʃek/                |< n. > - 检查；阻碍；支票；账单；方格图案；(国际象棋)将军 ;< v. > - 检查；阻止；核对；买单 ;
cheek                 |/tʃiːk/               |< n. > - 面颊；脸蛋 ;
cheer                 |/tʃɪr/                |< vt. > - 鼓舞；加油；快活起来 ;< vi. > - 欢呼；使振奋 ;< n. > - 欢呼；激励；愉快 ;
cheerful              |/ˈtʃɪrfl/             |< adj. > - 高兴的；快乐的 ;
